name,kind,elev_m,lon,lat
Mazong Shan,mountain,2584,97.11938,41.52382
Midzor,mountain,2168,22.67996,43.39007
Moldoveanu,mountain,2543,24.74769,45.60846
Møllehøj,mountain,171,9.82995,55.98
Monalanong Hill,mountain,1494,25.66991,-24.83999
Moncayo,mountain,2313,-1.83999,41.77998
Mont Agel,mountain,140,7.40419,43.74592
Mont Agou,mountain,968,0.75735,6.87831
Mont Bagzane,mountain,2022,8.66667,18.66663
Mont Bengoué,mountain,1070,13.68985,0.96013
Mont Blanc,mountain,4807,6.86504,45.83368
Mont Cameroun,mountain,4040,9.16995,4.21997
Mont Forel,mountain,3360,-36.81481,66.93501
Mont Heha,mountain,2670,29.5,-3.6
Mont Humboldt,mountain,1618,166.43682,-21.88777
Mont Jacques-Cartier,mountain,1268,-65.9562,48.9967
Mont Mohi,mountain,3480,28.78006,-2.95002
Mont Nabeba,mountain,1020,13.98996,1.8401
Mont Ngaoui,mountain,1410,14.90006,6.59007
Mont Ooumu,mountain,1185,-140.11999,-8.85001
Mont Orohena,mountain,2241,-149.48352,-17.61709
Mont Panié,mountain,1628,164.77002,-20.58999
Mont Singave,mountain,762,-178.1552,-14.26943
Mont Tremblant,mountain,968,-74.57322,46.25868
Mont Yapeitso,mountain,1128,-70.45655,52.31487
Montagne Pelée,mountain,1397,-61.1734,14.8201
Monte Binga,mountain,2436,33.05228,-19.78716
Monte Cinto,mountain,2706,8.95143,42.38598
Monte Etna,mountain,3322,14.99514,37.75512
Monte Fitz Roy,mountain,3375,-73.04319,-49.27132
Monte Mitra,mountain,1200,9.97002,1.39006
Monte Rosa,mountain,4634,7.86999,45.94003
Monte Titano,mountain,739,12.44999,43.90999
Monte Tronador,mountain,3554,-71.88464,-41.15705
Monte Viglio,mountain,2156,13.37003,41.88007
Monts de la Lékéti,mountain,1000,14.17899,-2.51815
Morne de la Grande Montagne,mountain,240,-56.30997,47.03997
Morne Diablotins,mountain,1447,-61.40003,15.50001
Morne du Vilet,mountain,281,-62.83002,17.9067
Morne Seychellois,mountain,905,55.43971,-4.63224
Moro de Môco,mountain,2620,15.16697,-12.46522
Morro da Boa Vista,mountain,1827,-49.47301,-28.1155
Mount Afadjoto,mountain,885,0.53003,7.14998
Mount Alvernia,mountain,63,-75.41001,24.28998
Mount Andrew Jackson,mountain,3184,-63.38322,-71.36713
Mount Anglem,mountain,980,167.91991,-46.74006
Mount Apo,mountain,2954,125.26988,6.99706
Mount Ararat,mountain,5137,44.29996,39.7001
Mount Baker,mountain,3286,-121.82325,48.79592
Mount Balbi,mountain,2715,154.97999,-5.90999
Mount Baldy,mountain,3476,-109.57103,33.92047
Mount Bartle Frere,mountain,1622,145.81999,-17.39994
Mount Bates,mountain,319,167.95974,-29.0353
Mount Batu,mountain,4307,39.41678,6.66669
Mount Blackburn,mountain,4996,-143.4426,61.73669
Mount Bogong,mountain,1986,147.29993,-36.73006
Mount Buller,mountain,1805,146.43983,-37.15643
Mount Caubvick,mountain,1652,-63.72485,58.89692
Mount Chamberlin,mountain,2749,-144.91362,69.28107
Mount Cleveland,mountain,3190,-113.84801,48.92501
Mount Dalrymple,mountain,1259,148.63003,-21.02993
Mount Damavand,mountain,5610,52.10902,35.95519
Mount Dimlang,mountain,2042,11.78942,8.39776
Mount Eddy,mountain,2751,-122.48002,41.32008
Mount Elbert,mountain,4402,-106.44642,39.12508
Mount Elgon,mountain,4321,34.53416,1.12315
Mount Erebus,mountain,3795,167.18293,-77.51448
Mount Everest,mountain,8848,86.8806,27.98048
Mount Fairweather,mountain,4671,-137.52661,58.9071
Mount Frank Rae,mountain,2347,-138.53882,64.49507
Mount Fridtjof Nansen,mountain,4069,-167.55467,-85.34762
Mount Gimie,mountain,950,-61.01001,13.85999
Mount Halcon,mountain,2585,120.98999,13.26009
Mount Harper,mountain,1994,-143.84001,64.24
Mount Hillaby,mountain,340,-59.57999,13.21009
Mount Hood,mountain,3426,-121.69658,45.38448
Mount Igikpak,mountain,2523,-154.9672,67.44079
Mount Kaplan,mountain,4230,175.35996,-84.55999
Mount Katahdin,mountain,1606,-68.92361,45.9034
Mount Katmai,mountain,2047,-154.9569,58.27881
Mount Kenya,mountain,5199,37.29994,-0.15007
Mount Kilimanjaro,mountain,5895,37.35325,-3.07571
Mount Kirkpatrick,mountain,4528,166.45039,-84.33961
Mount Kosciuszko,mountain,2228,148.26319,-36.45588
